City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,Esperance,-33.8667,121.9,55.24,75,99,3.71,AU,1658883564
117,Thompson,55.7435,-97.8558,60.96,88,75,4.61,CA,1658883566
118,Rettikhovka,44.1683,132.7669,82.31,67,0,0.4,RU,1658883569
119,Bengkulu,-3.8004,102.2655,77.38,82,97,3.11,ID,1658883571
120,Port Elizabeth,-33.918,25.5701,61.32,63,0,14.97,ZA,1658883503
121,Chui,-33.6971,-53.4616,58.91,96,25,6.17,UY,1658883575
122,Fortuna,40.5982,-124.1573,65.08,77,36,4.0,US,1658883578
123,Berlevåg,70.8578,29.0864,60.6,97,100,8.63,NO,1658883580
124,La Asuncion,11.0333,-63.8628,69.53,100,53,13.8,VE,1658883582
125,La Plata,-34.9215,-57.9545,65.03,98,71,7.7,AR,1658883584
126,Saint Anthony,45.0205,-93.218,75.52,83,100,1.01,US,1658883587
127,Talnakh,69.4865,88.3972,61.21,60,96,5.17,RU,1658883589
128,Nārsingi,18.0333,78.4333,71.37,94,100,2.42,IN,1658883591
129,Lufilufi,-13.8745,-171.5986,85.78,79,47,19.66,WS,1658883594
130,Sioux Lookout,50.1001,-91.917,69.87,64,40,6.91,CA,1658883479
131,Ribeira Grande,38.5167,-28.7,74.1,86,14,7.94,PT,1658883598
132,Seydi,39.4816,62.9137,83.75,32,94,16.8,TM,1658883600
133,Tamasane,-22.4184,27.4013,52.81,69,1,3.13,BW,1658883603
134,Arlit,18.7369,7.3853,94.44,11,10,6.31,NE,1658883606
135,Geraldton,-28.7667,114.6,50.41,81,0,10.36,AU,1658883609
136,Nikolskoye,59.7035,30.7861,66.79,91,100,5.01,RU,1658883576
137,San Jerónimo,-11.9472,-75.2829,48.96,80,100,4.41,PE,1658883614
138,Yulara,-25.2406,130.9889,53.11,40,0,12.66,AU,1658883616
139,Pakse,15.1167,105.7833,80.51,84,82,3.04,LA,1658883619
140,Bitung,1.4451,125.1824,86.85,77,100,9.91,ID,1658883621
141,Klaksvík,62.2266,-6.589,50.92,83,99,7.38,FO,1658883624
142,Bonfim,3.0833,-59.95,76.57,87,100,4.61,BR,1658883626
143,Guerrero Negro,27.9769,-114.0611,73.44,70,8,14.5,MX,1658883476
144,Banugao,14.7333,121.6333,85.87,68,100,3.09,PH,1658883631
145,Mahon,39.8885,4.2658,73.96,73,0,3.44,ES,1658883633
146,Kirakira,-10.4544,161.9205,83.28,75,96,5.97,SB,1658883636
147,Hilo,19.7297,-155.09,89.28,98,65,1.01,US,1658883494
148,Kloulklubed,7.0419,134.2556,82.9,71,16,5.99,PW,1658883640
149,Jamestown,42.097,-79.2353,66.72,82,100,2.66,US,1658883459
150,San Policarpo,12.1791,125.5072,84.4,71,100,3.74,PH,1658883645
151,Zhigansk,66.7697,123.3711,73.71,56,21,4.25,RU,1658883647
152,Astoria,46.1879,-123.8313,62.49,88,100,9.22,US,1658883649
153,New Norfolk,-42.7826,147.0587,53.1,73,88,5.01,AU,1658883652
154,Khandyga,62.6667,135.6,77.22,49,27,4.18,RU,1658883654
155,Mandalgovi,45.7625,106.2708,57.45,59,0,11.83,MN,1658883657
156,Kyra,49.5776,111.9753,54.48,96,100,6.73,RU,1658883659
157,Hualmay,-11.0964,-77.6139,62.4,83,88,12.01,PE,1658883662
158,Taltal,-25.4,-70.4833,59.58,77,2,3.22,CL,1658883664
159,Acapulco de Juárez,16.8634,-99.8901,80.96,81,86,3.38,MX,1658883434
160,Bredasdorp,-34.5322,20.0403,49.55,94,8,5.64,ZA,1658883669
161,Ganzhou,28.8184,115.4327,92.75,57,3,3.83,CN,1658883671
162,Saint Lawrence,36.0553,14.204,80.85,86,0,1.99,MT,1658883674
163,Nuuk,64.1835,-51.7216,41.61,93,100,8.99,GL,1658883676
164,Imbituba,-28.24,-48.6703,64.09,97,16,8.01,BR,1658883678
165,Sumbe,-11.2061,13.8437,68.09,91,15,1.5,AO,1658883681
166,Almaznyy,48.0448,40.045,62.24,82,98,3.51,RU,1658883684
167,Bull Savanna,17.8868,-77.5902,77.23,81,7,10.58,JM,1658883686
168,Limbang,4.75,115.0,78.91,78,100,2.48,MY,1658883689
169,Kruisfontein,-34.0033,24.7314,55.96,72,99,17.34,ZA,1658883691
170,Tadpatri,14.9167,78.0167,77.34,79,55,3.0,IN,1658883694
171,Montenegro,42.5,19.3,73.15,65,0,2.3,ME,1658883696
172,Ampanihy,-24.7,44.75,56.97,86,0,3.74,MG,1658883698
173,George Town,5.4112,100.3354,83.89,90,20,4.61,MY,1658883086
174,Pokhvistnevo,53.6524,52.1274,63.97,87,99,4.12,RU,1658883703
175,Ulladulla,-35.35,150.4667,58.6,44,7,10.94,AU,1658883680
176,Pangnirtung,66.1451,-65.7125,48.04,77,33,3.67,CA,1658883707
177,Cockburn Town,21.4612,-71.1419,82.09,80,0,16.28,TC,1658883710
178,Santa Maria,-29.6842,-53.8069,64.8,91,6,4.32,BR,1658883712
179,Amazar,53.858,120.875,68.34,93,100,4.83,RU,1658883714
180,Adrar,20.5022,-10.0711,97.84,18,5,10.65,MR,1658883717
181,Haines Junction,60.7522,-137.5108,66.38,47,97,8.3,CA,1658883719
182,Praia da Vitória,38.7333,-27.0667,73.76,89,34,5.5,PT,1658883722
183,Ust-Kuyga,70.0167,135.6,72.73,55,42,1.61,RU,1658883724
184,Maryville,35.7565,-83.9705,83.12,85,100,9.22,US,1658883717
185,Korla,41.7597,86.1469,87.12,16,6,2.93,CN,1658883630
186,Marsaxlokk,35.8419,14.5431,82.08,78,0,8.05,MT,1658883731
187,Anadyr,64.75,177.4833,50.5,81,40,17.9,RU,1658883734
188,Waoundé,15.2637,-12.8682,86.7,65,99,11.21,SN,1658883736
189,Tak,16.5833,98.8333,76.78,84,13,1.1,TH,1658883739
190,Pitimbu,-7.4706,-34.8086,74.37,85,94,10.85,BR,1658883741
191,Verāval,20.9,70.3667,80.87,82,100,9.19,IN,1658883473
192,Zeya,53.75,127.2667,81.77,52,67,5.46,RU,1658883746
193,Kunszentmiklós,47.027,19.1258,65.88,82,2,7.78,HU,1658883748
194,East London,-33.0153,27.9116,64.4,43,14,4.7,ZA,1658883614
195,Jalu,29.0331,21.5482,83.93,30,5,16.96,LY,1658883752
196,Bethel,41.3712,-73.414,74.75,67,100,4.0,US,1658883755
197,Ancud,-41.8697,-73.8203,48.22,94,98,8.46,CL,1658883757
198,Doha,25.2867,51.5333,93.18,75,40,13.8,QA,1658883618
199,Yellowknife,62.456,-114.3525,66.4,50,7,7.61,CA,1658883721
200,Gravdal,68.1214,13.5031,52.54,87,100,22.53,NO,1658883764
201,Saint George,37.1041,-113.5841,97.63,29,0,5.75,US,1658883248
